Time elapsed was 522455917238ns or 522.455917238s
Time elapsed was 522454302200ns or 522.454302200s
Time elapsed was 522456724708ns or 522.456724708s
Time elapsed was 525561075492ns or 525.561075492s
Time elapsed was 525560273697ns or 525.560273697s
Time elapsed was 525559995933ns or 525.559995933s
Time elapsed was 520102069038ns or 520.102069038s
Time elapsed was 520102246166ns or 520.102246166s
Time elapsed was 520101921506ns or 520.101921506s
Time elapsed was 526622093738ns or 526.622093738s
Time elapsed was 526623092192ns or 526.623092192s
Time elapsed was 526622742031ns or 526.622742031s
Time elapsed was 522207210948ns or 522.207210948s
Time elapsed was 522206471664ns or 522.206471664s
Time elapsed was 522206631399ns or 522.206631399s
Time elapsed was 520679205952ns or 520.679205952s
Time elapsed was 520679549752ns or 520.679549752s
Time elapsed was 520679622605ns or 520.679622605s
Time elapsed was 535414170605ns or 535.414170605s
Time elapsed was 535415189520ns or 535.415189520s
Time elapsed was 535415091735ns or 535.415091735s
Time elapsed was 409600728802ns or 409.600728802s
Time elapsed was 409601885430ns or 409.601885430s
Time elapsed was 409601545685ns or 409.601545685s
Time elapsed was 254448694141ns or 254.448694141s
Time elapsed was 254448689337ns or 254.448689337s
Time elapsed was 254448677192ns or 254.448677192s
Time elapsed was 254495002968ns or 254.495002968s
Time elapsed was 254495478477ns or 254.495478477s
Time elapsed was 254495406180ns or 254.495406180s
